year,mode_of_transport,travel_time,sex,count
2010,  No Transport Required,  More Than 60,male,0
2020,  Public Bus Only,  Up To 15,female,17281
2020,  MRT Only,  Up To 15,female,1654
2020,  MRT & Public Bus Only,  Up To 15,female,1118
2020,  Other combinations of MRT/LRT or Public Bus,  Up To 15,female,952
2020,  Taxi Only,  Up To 15,female,907
2020,  Car Only,  Up To 15,female,26337
2020,  Private Chartered Bus/Van Only,  Up To 15,female,5329
2020,  Lorry/Pickup Only,  Up To 15,female,378
2020,  Motorcycle/Scooter Only,  Up To 15,female,324
2020,  Others,  Up To 15,female,1983
2020,  No Transport Required,  Up To 15,female,67629
2020,  Public Bus Only,  16 - 30,female,35296
2020,  MRT Only,  16 - 30,female,7024
2020,  MRT & Public Bus Only,  16 - 30,female,15195
2020,  Other combinations of MRT/LRT or Public Bus,  16 - 30,female,2140
2020,  Taxi Only,  16 - 30,female,1008
2020,  Car Only,  16 - 30,female,19044
2020,  Private Chartered Bus/Van Only,  16 - 30,female,9929
2020,  Lorry/Pickup Only,  16 - 30,female,94
2020,  Motorcycle/Scooter Only,  16 - 30,female,181
2020,  Others,  16 - 30,female,601
2020,  No Transport Required,  16 - 30,female,8415
2020,  Public Bus Only,  31 - 45,female,13948
2020,  MRT Only,  31 - 45,female,6511
2020,  MRT & Public Bus Only,  31 - 45,female,22371
2020,  Other combinations of MRT/LRT or Public Bus,  31 - 45,female,2137
2020,  Taxi Only,  31 - 45,female,313
2020,  Car Only,  31 - 45,female,2473
2020,  Private Chartered Bus/Van Only,  31 - 45,female,4003
2020,  Lorry/Pickup Only,  31 - 45,female,37
2020,  Motorcycle/Scooter Only,  31 - 45,female,17
2020,  Others,  31 - 45,female,149
2020,  No Transport Required,  31 - 45,female,78
2020,  Public Bus Only,  46 - 60,female,8621
2020,  MRT Only,  46 - 60,female,6277
2020,  MRT & Public Bus Only,  46 - 60,female,26547
2020,  Other combinations of MRT/LRT or Public Bus,  46 - 60,female,2400
2020,  Taxi Only,  46 - 60,female,84
2020,  Car Only,  46 - 60,female,625
2020,  Private Chartered Bus/Van Only,  46 - 60,female,2029
2020,  Lorry/Pickup Only,  46 - 60,female,0
2020,  Motorcycle/Scooter Only,  46 - 60,female,29
2020,  Others,  46 - 60,female,50
2020,  No Transport Required,  46 - 60,female,69
2020,  Public Bus Only,  More Than 60,female,2443
2020,  MRT Only,  More Than 60,female,2733
2020,  MRT & Public Bus Only,  More Than 60,female,18894
2020,  Other combinations of MRT/LRT or Public Bus,  More Than 60,female,1842
2020,  Taxi Only,  More Than 60,female,19
2020,  Car Only,  More Than 60,female,26
2020,  Private Chartered Bus/Van Only,  More Than 60,female,419
2020,  Lorry/Pickup Only,  More Than 60,female,0
2020,  Motorcycle/Scooter Only,  More Than 60,female,0
2020,  Others,  More Than 60,female,0
2020,  No Transport Required,  More Than 60,female,39
2020,  Public Bus Only,  Up To 15,male,17524
2020,  MRT Only,  Up To 15,male,2178
2020,  MRT & Public Bus Only,  Up To 15,male,1146
2020,  Other combinations of MRT/LRT or Public Bus,  Up To 15,male,986
2020,  Taxi Only,  Up To 15,male,963
2020,  Car Only,  Up To 15,male,26288
