year,travel_time,education_level,sex,count
2020,  16 - 30,Post-Secondary (Non-Tertiary),male,8999
2020,  31 - 45,Post-Secondary (Non-Tertiary),male,7820
2020,  46 - 60,Post-Secondary (Non-Tertiary),male,7474
2020,  More Than 60,Post-Secondary (Non-Tertiary),male,3068
2020,  Up To 15,Polytechnic,male,1909
2020,  16 - 30,Polytechnic,male,9105
2020,  31 - 45,Polytechnic,male,9314
2020,  46 - 60,Polytechnic,male,11519
2020,  More Than 60,Polytechnic,male,5001
2020,  Up To 15,Professional Qualification And Other Diploma,male,361
2020,  16 - 30,Professional Qualification And Other Diploma,male,1143
2020,  31 - 45,Professional Qualification And Other Diploma,male,1247
2020,  46 - 60,Professional Qualification And Other Diploma,male,1639
2020,  More Than 60,Professional Qualification And Other Diploma,male,660
2020,  Up To 15,University,male,2829
2020,  16 - 30,University,male,7916
2020,  31 - 45,University,male,9034
2020,  46 - 60,University,male,12356
2020,  More Than 60,University,male,11485
2010,  Up To 15,Pre-Primary,all,45331
2010,  16 - 30,Pre-Primary,all,11906
2010,  31 - 45,Pre-Primary,all,2412
2010,  46 - 60,Pre-Primary,all,1329
2010,  More Than 60,Pre-Primary,all,193
2010,  Up To 15,Primary,all,189575
2010,  16 - 30,Primary,all,68872
2010,  31 - 45,Primary,all,13774
2010,  46 - 60,Primary,all,7203
2010,  More Than 60,Primary,all,1506
2010,  Up To 15,Secondary,all,83586
2010,  16 - 30,Secondary,all,94561
2010,  31 - 45,Secondary,all,30298
2010,  46 - 60,Secondary,all,17686
2010,  More Than 60,Secondary,all,5048
2010,  Up To 15,Post-Secondary (Non-Tertiary),all,6520
2010,  16 - 30,Post-Secondary (Non-Tertiary),all,18980
2010,  31 - 45,Post-Secondary (Non-Tertiary),all,13136
2010,  46 - 60,Post-Secondary (Non-Tertiary),all,12096
2010,  More Than 60,Post-Secondary (Non-Tertiary),all,4861
2010,  Up To 15,Polytechnic,all,6159
2010,  16 - 30,Polytechnic,all,22775
2010,  31 - 45,Polytechnic,all,19537
2010,  46 - 60,Polytechnic,all,22238
2010,  More Than 60,Polytechnic,all,8777
2010,  Up To 15,Professional Qualification And Other Diploma,all,845
2010,  16 - 30,Professional Qualification And Other Diploma,all,4146
2010,  31 - 45,Professional Qualification And Other Diploma,all,4032
2010,  46 - 60,Professional Qualification And Other Diploma,all,4082
2010,  More Than 60,Professional Qualification And Other Diploma,all,1579
2010,  Up To 15,University,all,4383
2010,  16 - 30,University,all,14299
2010,  31 - 45,University,all,13320
2010,  46 - 60,University,all,17779
2010,  More Than 60,University,all,17012
2020,  Up To 15,Pre-Primary,all,39071
2020,  16 - 30,Pre-Primary,all,12662
2020,  31 - 45,Pre-Primary,all,2090
2020,  46 - 60,Pre-Primary,all,1078
2020,  More Than 60,Pre-Primary,all,233
2020,  Up To 15,Primary,all,155582
2020,  16 - 30,Primary,all,67411
2020,  31 - 45,Primary,all,13075
2020,  46 - 60,Primary,all,6108
2020,  More Than 60,Primary,all,1615
2020,  Up To 15,Secondary,all,46434
2020,  16 - 30,Secondary,all,71367
2020,  31 - 45,Secondary,all,31873
2020,  46 - 60,Secondary,all,17246
2020,  More Than 60,Secondary,all,5568
2020,  Up To 15,Post-Secondary (Non-Tertiary),all,3984
2020,  16 - 30,Post-Secondary (Non-Tertiary),all,16275
2020,  31 - 45,Post-Secondary (Non-Tertiary),all,14822
2020,  46 - 60,Post-Secondary (Non-Tertiary),all,14188
2020,  More Than 60,Post-Secondary (Non-Tertiary),all,6407
2020,  Up To 15,Polytechnic,all,3509
2020,  16 - 30,Polytechnic,all,16276
2020,  31 - 45,Polytechnic,all,18692
2020,  46 - 60,Polytechnic,all,22250
2020,  More Than 60,Polytechnic,all,10314
2020,  Up To 15,Professional Qualification And Other Diploma,all,592
2020,  16 - 30,Professional Qualification And Other Diploma,all,2428
2020,  31 - 45,Professional Qualification And Other Diploma,all,2668
2020,  46 - 60,Professional Qualification And Other Diploma,all,3678
2020,  More Than 60,Professional Qualification And Other Diploma,all,1495
2020,  Up To 15,University,all,6127
2020,  16 - 30,University,all,17081
2020,  31 - 45,University,all,20052
2020,  46 - 60,University,all,27213
2020,  More Than 60,University,all,24925
